GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US00601,00601,ZCTA5 00601,17982,16956,102,14,0,0,846,64,23,41
8600000US00602,00602,ZCTA5 00602,40260,23144,693,8,72,0,1545,14798,172,14626
8600000US00603,00603,ZCTA5 00603,52408,36177,2057,76,655,0,5642,7801,290,7511
8600000US00606,00606,ZCTA5 00606,6331,4399,151,0,0,0,1655,126,35,91
8600000US00610,00610,ZCTA5 00610,28328,17791,950,0,26,0,6206,3355,88,3267
8600000US00612,00612,ZCTA5 00612,64816,53756,3252,331,808,0,4792,1877,670,1207
8600000US00616,00616,ZCTA5 00616,10707,10088,224,31,0,0,90,274,22,252
8600000US00617,00617,ZCTA5 00617,24793,23276,539,0,30,0,646,302,26,276
8600000US00622,00622,ZCTA5 00622,7425,5251,104,0,0,0,2066,4,0,4
8600000US00623,00623,ZCTA5 00623,42955,32402,1515,40,16,0,8669,313,33,280
8600000US00624,00624,ZCTA5 00624,24628,20830,856,39,46,0,2224,633,103,530
8600000US00627,00627,ZCTA5 00627,33949,28031,543,32,0,0,5041,302,122,180
8600000US00631,00631,ZCTA5 00631,1664,1516,0,0,0,0,148,0,0,0
8600000US00637,00637,ZCTA5 00637,24398,20606,739,86,0,0,2409,558,173,385
8600000US00638,00638,ZCTA5 00638,18084,17295,153,0,0,0,245,391,57,334
8600000US00641,00641,ZCTA5 00641,29516,25638,545,48,246,0,2407,632,259,373
8600000US00646,00646,ZCTA5 00646,38396,29211,5230,0,29,0,1077,2849,143,2706
8600000US00647,00647,ZCTA5 00647,5740,4916,124,5,0,0,598,97,26,71
8600000US00650,00650,ZCTA5 00650,14738,13906,256,0,68,0,409,99,0,99
8600000US00652,00652,ZCTA5 00652,3800,3443,60,0,23,0,270,4,0,4
8600000US00653,00653,ZCTA5 00653,12514,10227,435,53,0,0,1511,288,74,214
8600000US00656,00656,ZCTA5 00656,20414,17938,621,128,29,0,1247,451,31,420
8600000US00659,00659,ZCTA5 00659,41578,40209,353,0,124,0,453,439,72,367
8600000US00660,00660,ZCTA5 00660,16845,5853,362,0,70,0,5710,4850,233,4617
8600000US00662,00662,ZCTA5 00662,42499,28948,2352,176,10,0,9774,1239,122,1117
8600000US00664,00664,ZCTA5 00664,15974,14116,236,0,19,0,690,913,81,832
8600000US00667,00667,ZCTA5 00667,24968,18519,576,46,0,0,4961,866,403,463
8600000US00669,00669,ZCTA5 00669,27703,25205,247,9,26,0,1799,417,10,407
8600000US00670,00670,ZCTA5 00670,9333,7732,76,15,0,0,1490,20,9,11
8600000US00674,00674,ZCTA5 00674,42358,36403,1905,41,3,0,3607,399,141,258
8600000US00676,00676,ZCTA5 00676,38999,29641,1095,82,19,19,5770,2373,92,2281
8600000US00677,00677,ZCTA5 00677,14855,8334,222,0,28,0,311,5960,28,5932
8600000US00678,00678,ZCTA5 00678,26815,19410,1322,52,34,0,5628,369,142,227
8600000US00680,00680,ZCTA5 00680,52431,26668,1903,78,19,0,15365,8398,553,7845
8600000US00682,00682,ZCTA5 00682,32431,14495,1433,38,25,0,10985,5455,361,5094
8600000US00683,00683,ZCTA5 00683,32569,26950,826,44,0,0,4458,291,149,142
8600000US00685,00685,ZCTA5 00685,40800,35270,747,0,28,0,4131,624,103,521
8600000US00687,00687,ZCTA5 00687,32294,28404,403,0,31,0,1307,2149,127,2022
8600000US00688,00688,ZCTA5 00688,12870,11830,279,2,10,0,644,105,52,53
8600000US00690,00690,ZCTA5 00690,5565,3190,165,0,27,0,711,1472,0,1472
8600000US00692,00692,ZCTA5 00692,36777,28435,4001,45,87,0,1714,2495,118,2377
8600000US00693,00693,ZCTA5 00693,58615,53114,1959,170,62,33,2301,976,371,605
8600000US00694,00694,ZCTA5 00694,77,77,0,0,0,0,0,0,0,0
8600000US00698,00698,ZCTA5 00698,39395,34666,1201,96,37,0,2269,1126,325,801
8600000US00703,00703,ZCTA5 00703,28165,23552,1408,71,1,0,833,2300,61,2239
8600000US00704,00704,ZCTA5 00704,8007,4925,929,36,0,0,1949,168,22,146
8600000US00705,00705,ZCTA5 00705,24717,20488,1793,0,32,0,2202,202,37,165
8600000US00707,00707,ZCTA5 00707,11701,5655,4843,5,0,0,643,555,134,421
8600000US00714,00714,ZCTA5 00714,18988,10495,4703,0,0,0,3209,581,92,489
8600000US00715,00715,ZCTA5 00715,3586,1773,715,9,0,0,220,869,6,863
8600000US00716,00716,ZCTA5 00716,30876,23289,1878,0,9,0,1077,4623,143,4480
8600000US00717,00717,ZCTA5 00717,17704,13392,931,22,75,0,561,2723,96,2627
8600000US00718,00718,ZCTA5 00718,26547,16996,1073,0,208,0,7754,516,42,474
8600000US00719,00719,ZCTA5 00719,30588,18413,1816,11,8,0,1711,8629,339,8290
8600000US00720,00720,ZCTA5 00720,22676,18438,520,0,0,0,1709,2009,42,1967
8600000US00723,00723,ZCTA5 00723,18441,10774,4933,237,0,12,1957,528,25,503
8600000US00725,00725,ZCTA5 00725,86276,64429,7941,225,441,0,9619,3621,471,3150
8600000US00727,00727,ZCTA5 00727,56503,44312,3919,72,113,0,6182,1905,338,1567
8600000US00728,00728,ZCTA5 00728,41337,33858,1913,111,51,0,3522,1882,162,1720
8600000US00729,00729,ZCTA5 00729,53439,26593,7090,26,179,0,19375,176,22,154
8600000US00730,00730,ZCTA5 00730,34965,26046,2307,37,17,0,1485,5073,209,4864
8600000US00731,00731,ZCTA5 00731,14382,11922,280,23,0,0,805,1352,76,1276
8600000US00735,00735,ZCTA5 00735,13063,7872,927,0,147,0,3907,210,42,168
8600000US00736,00736,ZCTA5 00736,50335,38468,1873,9,196,0,8883,906,156,750
8600000US00738,00738,ZCTA5 00738,33205,19819,3061,42,173,0,9206,904,379,525
8600000US00739,00739,ZCTA5 00739,37970,29301,1738,88,77,0,5760,1006,69,937
8600000US00740,00740,ZCTA5 00740,1515,811,163,12,8,0,521,0,0,0
8600000US00741,00741,ZCTA5 00741,5514,2421,1219,53,0,0,1700,121,39,82
8600000US00745,00745,ZCTA5 00745,53797,29015,7216,29,180,0,15696,1661,326,1335
8600000US00751,00751,ZCTA5 00751,22777,12328,3280,22,120,0,6514,513,69,444
8600000US00754,00754,ZCTA5 00754,39651,32304,2905,47,0,0,733,3662,131,3531
8600000US00757,00757,ZCTA5 00757,22913,13663,2971,22,0,0,5982,275,55,220
8600000US00765,00765,ZCTA5 00765,8993,4103,1020,57,131,0,3580,102,0,102
8600000US00766,00766,ZCTA5 00766,24875,14074,877,68,9,0,2957,6890,163,6727
8600000US00767,00767,ZCTA5 00767,36340,23811,8682,83,22,0,2857,885,106,779
8600000US00769,00769,ZCTA5 00769,39670,26868,3933,0,0,0,8332,537,42,495
8600000US00771,00771,ZCTA5 00771,38340,27632,6187,0,126,0,1382,3013,62,2951
8600000US00772,00772,ZCTA5 00772,21478,2980,8854,42,36,0,9201,365,149,216
8600000US00773,00773,ZCTA5 00773,19497,11024,1865,64,138,0,6161,245,109,136
8600000US00775,00775,ZCTA5 00775,1554,789,82,5,0,0,653,25,0,25
8600000US00777,00777,ZCTA5 00777,40570,29148,1521,2,0,0,9548,351,0,351
8600000US00778,00778,ZCTA5 00778,46765,29899,5875,58,110,0,7198,3625,310,3315
8600000US00780,00780,ZCTA5 00780,13016,9500,330,0,0,0,969,2217,0,2217
8600000US00782,00782,ZCTA5 00782,18530,11590,830,51,12,0,1328,4719,12,4707
8600000US00783,00783,ZCTA5 00783,35151,20578,926,7,0,0,2039,11601,114,11487
8600000US00784,00784,ZCTA5 00784,42625,29931,5612,106,36,0,6061,879,136,743
8600000US00786,00786,ZCTA5 00786,288,288,0,0,0,0,0,0,0,0
8600000US00791,00791,ZCTA5 00791,50809,30130,4668,143,437,0,14119,1312,126,1186
8600000US00794,00794,ZCTA5 00794,30215,18315,827,25,0,0,1053,9995,160,9835
8600000US00795,00795,ZCTA5 00795,46450,25932,4725,79,203,0,4132,11379,271,11108
8600000US00901,00901,ZCTA5 00901,6132,4522,699,24,32,0,405,450,148,302
8600000US00906,00906,ZCTA5 00906,73,66,0,0,7,0,0,0,0,0
8600000US00907,00907,ZCTA5 00907,17382,12738,2371,85,32,0,798,1358,83,1275
8600000US00909,00909,ZCTA5 00909,5616,3198,628,109,6,0,628,1047,25,1022
8600000US00911,00911,ZCTA5 00911,7444,5246,796,222,11,0,596,573,55,518
8600000US00912,00912,ZCTA5 00912,5979,3216,1172,41,81,0,505,964,73,891
8600000US00913,00913,ZCTA5 00913,8122,4521,1403,83,0,0,1199,916,23,893
8600000US00915,00915,ZCTA5 00915,29387,13883,5415,592,150,0,4984,4363,355,4008
8600000US00917,00917,ZCTA5 00917,19086,13900,2584,131,49,0,1575,847,200,647
8600000US00918,00918,ZCTA5 00918,16552,14115,694,0,22,0,714,1007,114,893
8600000US00920,00920,ZCTA5 00920,17995,12317,4051,6,41,0,1034,546,126,420
8600000US00921,00921,ZCTA5 00921,37696,24987,9256,104,109,12,2265,963,289,674
8600000US00923,00923,ZCTA5 00923,26591,18438,4188,56,309,0,2839,761,317,444
8600000US00924,00924,ZCTA5 00924,54584,34487,8914,266,868,0,7045,3004,625,2379
8600000US00925,00925,ZCTA5 00925,6899,3965,854,29,224,0,1293,534,63,471
8600000US00926,00926,ZCTA5 00926,104645,76508,6782,210,635,0,5768,14742,906,13836
8600000US00927,00927,ZCTA5 00927,14447,12682,771,0,103,0,666,225,155,70
8600000US00934,00934,ZCTA5 00934,67,11,56,0,0,0,0,0,0,0
8600000US00936,00936,ZCTA5 00936,731,525,68,0,17,0,55,66,9,57
8600000US00949,00949,ZCTA5 00949,78552,42227,6570,124,24,7,5588,24012,371,23641
8600000US00950,00950,ZCTA5 00950,0,0,0,0,0,0,0,0,0,0
8600000US00951,00951,ZCTA5 00951,15,7,8,0,0,0,0,0,0,0
8600000US00952,00952,ZCTA5 00952,9363,2746,917,0,0,0,444,5256,63,5193
8600000US00953,00953,ZCTA5 00953,73099,51525,5931,215,221,0,5025,10182,653,9529
8600000US00956,00956,ZCTA5 00956,74529,47187,6609,389,163,0,9224,10957,340,10617
8600000US00957,00957,ZCTA5 00957,43336,25648,2963,351,73,17,3234,11050,239,10811
8600000US00959,00959,ZCTA5 00959,48168,29777,2808,501,62,0,2372,12648,492,12156
8600000US00960,00960,ZCTA5 00960,2355,1025,194,15,7,0,389,725,24,701
8600000US00961,00961,ZCTA5 00961,30978,16303,2051,254,63,0,1214,11093,186,10907
8600000US00962,00962,ZCTA5 00962,20975,13147,2032,55,63,0,4185,1493,132,1361
8600000US00965,00965,ZCTA5 00965,8483,4825,853,59,5,0,1969,772,73,699
8600000US00966,00966,ZCTA5 00966,16058,13554,471,97,22,0,936,978,58,920
8600000US00968,00968,ZCTA5 00968,3492,3193,79,0,36,0,134,50,28,22
8600000US00969,00969,ZCTA5 00969,43021,35878,1723,179,79,0,2486,2676,218,2458
8600000US00971,00971,ZCTA5 00971,29095,19595,2198,79,0,0,4967,2256,63,2193
8600000US00976,00976,ZCTA5 00976,61762,42025,6159,83,32,11,2741,10711,376,10335
8600000US00979,00979,ZCTA5 00979,15234,11196,2213,132,309,0,622,762,65,697
8600000US00982,00982,ZCTA5 00982,15029,8615,3775,414,19,0,1238,968,190,778
8600000US00983,00983,ZCTA5 00983,39407,21792,9546,1115,116,18,3287,3533,294,3239
8600000US00985,00985,ZCTA5 00985,33653,18608,8383,292,128,0,3832,2410,411,1999
8600000US00987,00987,ZCTA5 00987,60377,34103,12967,1677,35,0,5902,5693,245,5448
8600000US01001,01001,ZCTA5 01001,17438,16014,230,18,639,27,306,204,80,124
8600000US01002,01002,ZCTA5 01002,29780,23333,1399,142,3853,0,185,868,100,768
8600000US01003,01003,ZCTA5 01003,11241,8967,699,34,1266,0,111,164,44,120
8600000US01005,01005,ZCTA5 01005,5201,5062,40,10,81,0,2,6,3,3
8600000US01007,01007,ZCTA5 01007,14838,14086,104,0,330,0,52,266,0,266
8600000US01008,01008,ZCTA5 01008,1171,1165,0,0,6,0,0,0,0,0
8600000US01009,01009,ZCTA5 01009,429,429,0,0,0,0,0,0,0,0
8600000US01010,01010,ZCTA5 01010,3695,3695,0,0,0,0,0,0,0,0
8600000US01011,01011,ZCTA5 01011,1506,1449,17,0,10,0,11,19,0,19
8600000US01012,01012,ZCTA5 01012,539,532,0,0,0,0,0,7,0,7
8600000US01013,01013,ZCTA5 01013,22394,18852,640,25,413,0,2080,384,131,253
8600000US01020,01020,ZCTA5 01020,30952,27256,891,53,405,0,1324,1023,223,800
8600000US01022,01022,ZCTA5 01022,2840,2150,395,0,51,0,69,175,29,146
8600000US01026,01026,ZCTA5 01026,1036,985,28,4,0,0,0,19,0,19
8600000US01027,01027,ZCTA5 01027,17787,16248,313,3,456,0,310,457,86,371
8600000US01028,01028,ZCTA5 01028,16017,14677,849,7,356,0,16,112,0,112
8600000US01029,01029,ZCTA5 01029,717,671,4,0,36,0,0,6,0,6
8600000US01030,01030,ZCTA5 01030,11250,10808,190,6,202,0,10,34,0,34
8600000US01031,01031,ZCTA5 01031,1369,1292,0,23,0,0,0,54,28,26
8600000US01032,01032,ZCTA5 01032,611,605,0,0,6,0,0,0,0,0
8600000US01033,01033,ZCTA5 01033,6304,6252,0,0,0,0,16,36,0,36
8600000US01034,01034,ZCTA5 01034,2190,2131,6,13,9,0,4,27,2,25
8600000US01035,01035,ZCTA5 01035,5324,5076,51,23,111,0,27,36,0,36
8600000US01036,01036,ZCTA5 01036,5179,5133,6,0,22,0,0,18,7,11
8600000US01037,01037,ZCTA5 01037,731,666,11,0,0,0,32,22,22,0
8600000US01038,01038,ZCTA5 01038,2794,2686,25,0,54,0,0,29,0,29
8600000US01039,01039,ZCTA5 01039,1236,1212,6,0,5,0,10,3,0,3
8600000US01040,01040,ZCTA5 01040,40342,33101,1827,200,618,17,3654,925,366,559
8600000US01050,01050,ZCTA5 01050,2513,2363,89,4,0,7,4,46,0,46
8600000US01053,01053,ZCTA5 01053,1772,1625,62,0,12,0,28,45,14,31
8600000US01054,01054,ZCTA5 01054,1993,1857,56,5,38,0,0,37,0,37
8600000US01056,01056,ZCTA5 01056,21348,20024,300,33,212,5,568,206,15,191
8600000US01057,01057,ZCTA5 01057,8712,8475,0,0,33,0,41,163,20,143
8600000US01060,01060,ZCTA5 01060,15229,13055,519,16,1019,0,312,308,89,219
8600000US01062,01062,ZCTA5 01062,11029,9830,185,7,575,0,136,296,31,265
8600000US01063,01063,ZCTA5 01063,572,414,20,0,87,0,5,46,19,27
