GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US00740,00740,ZCTA5 00740,1517,718,327,13,8,0,451,0,0,0
8600000US00741,00741,ZCTA5 00741,5168,2044,2084,0,0,0,938,102,59,43
8600000US00745,00745,ZCTA5 00745,52624,27795,7000,57,166,0,16377,1229,340,889
8600000US00751,00751,ZCTA5 00751,22174,12091,6180,21,112,0,3376,394,29,365
8600000US00754,00754,ZCTA5 00754,38636,33597,2642,43,22,0,571,1761,154,1607
8600000US00757,00757,ZCTA5 00757,22475,12539,6295,25,0,0,3455,161,25,136
8600000US00765,00765,ZCTA5 00765,8721,4637,792,12,162,0,3013,105,0,105
8600000US00766,00766,ZCTA5 00766,23931,13176,850,25,10,0,2795,7075,150,6925
8600000US00767,00767,ZCTA5 00767,35042,14950,17751,89,11,0,1945,296,164,132
8600000US00769,00769,ZCTA5 00769,39605,26038,8487,0,0,0,4851,229,35,194
8600000US00771,00771,ZCTA5 00771,37705,18619,18039,0,0,0,756,291,61,230
8600000US00772,00772,ZCTA5 00772,20784,3137,8869,10,31,0,8501,236,156,80
8600000US00773,00773,ZCTA5 00773,18952,11385,1705,24,61,0,5422,355,139,216
8600000US00775,00775,ZCTA5 00775,1480,729,74,5,15,0,624,33,0,33
8600000US00777,00777,ZCTA5 00777,40611,23395,2067,25,83,0,14681,360,0,360
8600000US00778,00778,ZCTA5 00778,46852,30688,6114,43,69,0,8791,1147,297,850
8600000US00780,00780,ZCTA5 00780,11679,8451,469,0,0,0,697,2062,0,2062
8600000US00782,00782,ZCTA5 00782,18196,14576,1500,56,18,0,1742,304,4,300
8600000US00783,00783,ZCTA5 00783,34240,27892,2097,0,0,0,2876,1375,171,1204
8600000US00784,00784,ZCTA5 00784,41417,30813,5476,0,95,0,4574,459,92,367
8600000US00786,00786,ZCTA5 00786,249,249,0,0,0,0,0,0,0,0
8600000US00791,00791,ZCTA5 00791,49551,29400,6399,79,409,0,12608,656,169,487
8600000US00794,00794,ZCTA5 00794,29296,25740,1264,0,0,0,1285,1007,295,712
8600000US00795,00795,ZCTA5 00795,45573,20582,4028,33,99,0,4742,16089,252,15837
8600000US00901,00901,ZCTA5 00901,6540,4883,831,10,25,0,501,290,61,229
8600000US00906,00906,ZCTA5 00906,91,84,0,0,7,0,0,0,0,0
8600000US00907,00907,ZCTA5 00907,16819,13218,1665,15,33,0,1013,875,77,798
8600000US00909,00909,ZCTA5 00909,5430,3039,634,71,6,0,1068,612,26,586
8600000US00911,00911,ZCTA5 00911,7617,5478,678,197,40,0,974,250,37,213
8600000US00912,00912,ZCTA5 00912,5920,2690,1327,0,78,0,1083,742,62,680
8600000US00913,00913,ZCTA5 00913,8495,4182,983,83,0,0,2631,616,9,607
8600000US00915,00915,ZCTA5 00915,27534,10554,4015,584,187,0,9224,2970,331,2639
8600000US00917,00917,ZCTA5 00917,18316,13589,2750,76,34,20,1393,454,180,274
8600000US00918,00918,ZCTA5 00918,16595,14509,739,0,0,0,852,495,62,433
8600000US00920,00920,ZCTA5 00920,16698,11228,3483,0,32,0,1129,826,106,720
8600000US00921,00921,ZCTA5 00921,35161,22149,7691,48,28,12,2917,2316,216,2100
8600000US00923,00923,ZCTA5 00923,24754,18585,3152,92,80,0,2348,497,188,309
8600000US00924,00924,ZCTA5 00924,51699,33510,8352,254,207,0,7366,2010,682,1328
8600000US00925,00925,ZCTA5 00925,6796,3879,1050,12,130,0,1417,308,31,277
8600000US00926,00926,ZCTA5 00926,99106,80095,7499,108,347,0,6196,4861,1071,3790
