GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US00601,00601,ZCTA5 00601,18088,17408,175,5,0,0,431,69,24,45
8600000US00602,00602,ZCTA5 00602,40859,23919,1097,27,75,0,1520,14221,148,14073
8600000US00603,00603,ZCTA5 00603,53162,38809,1913,75,629,0,3567,8169,275,7894
8600000US00606,00606,ZCTA5 00606,6415,5621,154,0,0,0,519,121,36,85
8600000US00610,00610,ZCTA5 00610,28805,19336,1002,0,26,0,5568,2873,87,2786
8600000US00612,00612,ZCTA5 00612,66251,55315,3099,163,852,0,4741,2081,683,1398
8600000US00616,00616,ZCTA5 00616,10466,9662,235,22,0,0,287,260,20,240
8600000US00617,00617,ZCTA5 00617,24917,24002,416,0,30,0,255,214,28,186
8600000US00622,00622,ZCTA5 00622,6589,5864,99,0,0,0,624,2,0,2
8600000US00623,00623,ZCTA5 00623,44117,38898,1416,32,5,0,3400,366,50,316
8600000US00624,00624,ZCTA5 00624,24902,21359,691,41,24,0,2123,664,108,556
8600000US00627,00627,ZCTA5 00627,34438,30566,505,32,39,0,2853,443,231,212
8600000US00631,00631,ZCTA5 00631,1847,1648,0,0,0,0,199,0,0,0
8600000US00637,00637,ZCTA5 00637,24799,21358,817,91,0,0,1951,582,155,427
8600000US00638,00638,ZCTA5 00638,18365,17709,136,0,0,0,267,253,25,228
8600000US00641,00641,ZCTA5 00641,30183,26447,720,26,223,0,2235,532,247,285
