GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD10
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
8600000US00601,601,ZCTA5 00601,17800,14436,108,21,0,0,3046,189,26,163
8600000US00602,602,ZCTA5 00602,39716,22941,968,0,74,0,1544,14189,164,14025
8600000US00603,603,ZCTA5 00603,51565,35176,2149,106,638,11,6610,6875,333,6542
8600000US00606,606,ZCTA5 00606,6320,3739,175,0,0,0,2246,160,77,83
8600000US00610,610,ZCTA5 00610,27976,16259,1018,0,33,1,6871,3794,103,3691
8600000US00612,612,ZCTA5 00612,63884,52902,3346,252,678,0,5209,1497,523,974
8600000US00616,616,ZCTA5 00616,10321,9222,424,32,0,0,300,343,25,318
8600000US00617,617,ZCTA5 00617,24648,22641,560,0,96,0,998,353,27,326
8600000US00622,622,ZCTA5 00622,7385,4530,95,0,0,0,2750,10,0,10
8600000US00623,623,ZCTA5 00623,42711,25586,1457,38,11,0,15212,407,42,365
8600000US00624,624,ZCTA5 00624,23945,19874,749,37,46,0,2671,568,110,458
8600000US00627,627,ZCTA5 00627,33481,26674,716,38,0,0,5734,319,154,165
8600000US00631,631,ZCTA5 00631,1689,1235,0,0,0,0,454,0,0,0
8600000US00637,637,ZCTA5 00637,24013,19023,611,73,0,0,3771,535,134,401
8600000US00638,638,ZCTA5 00638,17795,17089,127,0,0,0,205,374,62,312
8600000US00641,641,ZCTA5 00641,28925,22643,431,49,261,0,4881,660,301,359
8600000US00646,646,ZCTA5 00646,38292,29479,4904,0,48,0,1378,2483,138,2345
8600000US00647,647,ZCTA5 00647,5711,4614,98,0,0,0,916,83,23,60
8600000US00650,650,ZCTA5 00650,14569,13544,265,0,60,0,562,138,0,138
8600000US00652,652,ZCTA5 00652,3893,3457,58,0,23,0,344,11,8,3
8600000US00653,653,ZCTA5 00653,12125,9251,377,19,0,0,2180,298,83,215
8600000US00656,656,ZCTA5 00656,19996,16716,548,124,49,0,2096,463,31,432
8600000US00659,659,ZCTA5 00659,41327,40183,304,0,15,0,353,472,193,279
8600000US00660,660,ZCTA5 00660,16678,5945,325,0,75,0,7824,2509,214,2295
8600000US00662,662,ZCTA5 00662,41986,29308,2449,109,0,0,9202,918,117,801
8600000US00664,664,ZCTA5 00664,15693,13596,114,40,20,0,1267,656,78,578
8600000US00667,667,ZCTA5 00667,24492,15125,474,47,0,0,8304,542,395,147
