zipcode_5,pop_total,unemployment_rate,median_household_income,healthcare_rate,hs_graduation_rate,assoc_degree_rate,bachelor_degree_rate,grad_degree_rate,donations_sum,donations_median,donations_count,donations_sum_quartile,donations_median_quartile
62908,481,0.04219409282700422,57813.0,0.9875259875259875,0.3413173652694611,0.15868263473053892,0.12874251497005987,0.017964071856287425,965.0,100.0,5,4,1
62910,2395,0.11176470588235295,39375.0,0.8918580375782881,0.3608529250956807,0.07709130672498633,0.06998359759431383,0.01038819026790596,215.0,25.0,11,4,4
62912,1127,0.10951526032315978,43611.0,0.9236912156166814,0.3399503722084367,0.09801488833746898,0.1774193548387097,0.02109181141439206,2000.0,1000.0,2,3,1
62914,2900,0.1757028112449799,22083.0,0.8593103448275862,0.30320855614973263,0.08342245989304813,0.10106951871657754,0.019251336898395723,1203.0,25.0,21,3,4
62915,432,0.055299539170506916,39688.0,0.8078703703703703,0.49433962264150944,0.09433962264150944,0.06037735849056604,0.045283018867924525,2225.0,50.0,7,3,2
62916,1002,0.03611738148984198,66125.0,0.7734530938123753,0.4046153846153846,0.1,0.16153846153846155,0.03076923076923077,6250.0,500.0,7,2,1
62917,2581,0.08024691358024691,31495.0,0.9019759783029834,0.31893333333333335,0.12426666666666666,0.0608,0.016,2311.0,27.0,43,3,4
62918,10175,0.04694744976816074,50041.0,0.9296314496314496,0.2432349323493235,0.09609471094710947,0.20003075030750309,0.1479089790897909,44117.0,50.0,231,1,2
62920,3477,0.08383594692400483,43110.0,0.907103825136612,0.29732028923862186,0.07826456826882178,0.1624840493407061,0.14121650361548277,19860.0,150.0,53,2,1
62922,2505,0.09528392685274302,53250.0,0.932934131736527,0.3319327731092437,0.10871848739495799,0.1213235294117647,0.06775210084033613,2778.0,38.0,60,3,3
62923,433,0.11956521739130435,40000.0,0.8868360277136259,0.42033898305084744,0.10847457627118644,0.07796610169491526,0.01694915254237288,6018.0,25.0,76,2,4
62924,2920,0.06223175965665236,42931.0,0.9044520547945205,0.29381443298969073,0.0865979381443299,0.13402061855670103,0.09020618556701031,12904.0,50.0,221,2,2
62926,2571,0.09628975265017668,53854.0,0.8673667833527811,0.3022113022113022,0.11916461916461916,0.09275184275184276,0.04054054054054054,800.0,800.0,1,4,1
62930,6236,0.14832535885167464,38088.0,0.9007376523412444,0.3135572444226526,0.10174062270164257,0.13459181171855847,0.05810247609708262,11461.0,250.0,43,2,1
62932,1849,0.05114401076716016,39831.0,0.8799351000540833,0.3596707818930041,0.1037037037037037,0.09958847736625515,0.03209876543209877,1577.0,25.0,31,3,4
62933,1329,0.03316749585406302,49421.0,0.8841234010534236,0.30513595166163143,0.10574018126888217,0.11178247734138973,0.08358509566968782,1436.0,25.0,57,3,4
62934,955,0.027837259100642397,42438.0,0.9057591623036649,0.29130434782608694,0.18840579710144928,0.07681159420289856,0.0463768115942029,530.0,250.0,3,4,1
62935,1698,0.1,49375.0,0.8828032979976443,0.31561996779388085,0.10466988727858294,0.12560386473429952,0.03140096618357488,27000.0,800.0,16,2,1
62938,3002,0.11674641148325358,36346.0,0.8597601598934044,0.3251252086811352,0.07387312186978297,0.0847245409015025,0.04632721202003339,6028.0,150.0,27,2,1
62939,3324,0.04005621925509487,51898.0,0.9654031287605295,0.27261306532663315,0.12060301507537688,0.09840871021775545,0.1109715242881072,2628.0,25.0,67,3,4
62940,323,0.017964071856287425,47929.0,0.9411764705882353,0.5342465753424658,0.0136986301369863,0.0228310502283105,0.1050228310502283,1395.0,430.0,4,3,1
62941,813,0.07386363636363637,49000.0,0.955719557195572,0.2896551724137931,0.08448275862068966,0.12586206896551724,0.006896551724137931,1038.0,11.5,8,3,4
62942,538,0.16666666666666666,34773.0,0.8550185873605948,0.36363636363636365,0.08181818181818182,0.06818181818181818,0.004545454545454545,820.0,50.0,8,4,2
62943,403,0.11242603550295859,,1.0,0.17880794701986755,0.1357615894039735,0.1357615894039735,0.03642384105960265,300.0,50.0,6,4,2
62946,12955,0.12034782608695652,41929.0,0.8900038595137013,0.3114273300021725,0.12079078861611992,0.09863132739517706,0.06669563328264176,70018.0,50.0,158,1,2
62947,473,0.1320754716981132,52656.0,0.9302325581395349,0.3866995073891626,0.0812807881773399,0.024630541871921183,0.12807881773399016,600.0,100.0,7,4,1
62948,13093,0.1010150622134905,41707.0,0.9056747880546857,0.2781741986634953,0.12413636878468683,0.1598142484992638,0.06422018348623854,13840.0,19.0,263,2,4
62950,204,0.0,,1.0,0.5384615384615384,0.14102564102564102,0.038461538461538464,0.0,2341.0,200.0,11,3,1
62951,5280,0.1427980132450331,36534.0,0.8803030303030303,0.39155629139072845,0.1076158940397351,0.08140176600441501,0.0347682119205298,8334.0,25.0,93,2,4
62952,3160,0.03571428571428571,39510.0,0.8829113924050633,0.36689132266217356,0.08256107834877843,0.10825610783487784,0.05265374894692502,12582.0,32.0,93,2,3
62954,346,0.0,64286.0,0.9421965317919075,0.6705426356589147,0.06201550387596899,0.027131782945736434,0.007751937984496124,5024.0,1000.0,6,2,1
62957,1140,0.14150943396226415,29844.0,0.8333333333333334,0.41130091984231276,0.06701708278580815,0.04862023653088042,0.013140604467805518,975.0,150.0,5,4,1
62958,2178,0.032403240324032405,49950.0,0.9081726354453628,0.17525773195876287,0.08891752577319588,0.2615979381443299,0.25966494845360827,30169.0,27.0,178,2,4
62959,28257,0.06245991019884541,49919.0,0.8730226138655909,0.30225920371535003,0.10652605098930869,0.12399013110154322,0.09936626191282473,298169.0,50.5,694,1,2
62960,11596,0.0735821210204512,42852.0,0.910055191445326,0.333622505886727,0.11674309084149213,0.10782005205105961,0.039038294708142275,9450.0,25.0,209,2,4
62962,76,0.0,,0.4868421052631579,0.16279069767441862,0.0,0.0,0.0,650.0,50.0,8,4,2
62964,1431,0.10204081632653061,29605.0,0.93361285814116,0.30168776371308015,0.10443037974683544,0.043248945147679324,0.05590717299578059,1393.0,16.0,65,3,4
62966,15061,0.1091703056768559,39361.0,0.9080406347520085,0.3280135185880586,0.1125610214044311,0.12936537739391663,0.10476905745399925,73993.0,100.0,306,1,1
62967,272,0.09411764705882353,34500.0,0.8455882352941176,0.48847926267281105,0.03686635944700461,0.041474654377880185,0.0,1300.0,250.0,7,3,1
62969,456,0.09433962264150944,38750.0,0.8903508771929824,0.3724832214765101,0.02348993288590604,0.040268456375838924,0.0,1378.0,38.0,19,3,3
