zipcode_5,pop_total,unemployment_rate,median_household_income,healthcare_rate,hs_graduation_rate,assoc_degree_rate,bachelor_degree_rate,grad_degree_rate
60608,78072,0.10842284085927224,37574.0,0.7013269802233836,0.25330439164308693,0.052366370789565485,0.15859141827202605,0.07808442187681693
60609,62250,0.1902125925422808,32721.0,0.7847389558232932,0.3885052586847976,0.04584085838733666,0.07776479337087007,0.040475937533198766
60610,38438,0.05018198714473786,77094.0,0.9329829855871794,0.07615030427922852,0.02804520719966513,0.39450043468461216,0.3267862317673954
60611,31563,0.0457564215255396,92545.0,0.9623293096346989,0.03991220047558076,0.03285165538686666,0.39370770074995426,0.4372050484726541
60612,35559,0.15620608899297425,37137.0,0.8429933350206699,0.24356667266510706,0.06487313298542378,0.18818607162137843,0.13478495591146303
60613,49519,0.047096504665088426,73810.0,0.9169611664209697,0.08914769441085231,0.0373048004626952,0.4483148430516852,0.28771228771228774
60614,69817,0.03396605487307201,94640.0,0.9508858873913231,0.05287586644038686,0.022021387531437217,0.48363219988958633,0.3473122456908009
60615,40257,0.11100533130236101,40587.0,0.8971110614303103,0.13174788444703822,0.05912605777648089,0.23354975196965275,0.3308287131601984
60616,52580,0.08895899053627761,42776.0,0.8519969570178775,0.21937486844874762,0.0529888444537992,0.21511260787202693,0.17804146495474638
60617,80002,0.20263737444271365,37254.0,0.8626534336641584,0.3145186395828469,0.06817651179080084,0.10105844812825901,0.056833216592730953
60618,95632,0.05704921575336298,62102.0,0.8096662205119626,0.19042623343924225,0.05224506924045321,0.27137162040645046,0.15574605838978478
60619,62822,0.21392132023145136,32024.0,0.8582502944828245,0.2857650908056333,0.08798425719569444,0.13573426905021574,0.0844516098439945
60620,69299,0.22258706153506141,32401.0,0.8450194086494754,0.31477089861946306,0.07499788261200982,0.10434488015583976,0.06049377487930888
60621,31383,0.3340457011343087,20150.0,0.8257018130835165,0.3456862850104429,0.07990146200396295,0.05590960209928774,0.02179617629732769
60622,54467,0.05170413147313598,79085.0,0.8907411827344998,0.10145140727665,0.03373541237618907,0.40926252819456704,0.23661370991468078
60623,88137,0.12792619113191958,30048.0,0.747347878870395,0.28691178515384463,0.0428063484496355,0.05921379337743082,0.02365770812228115
60624,38134,0.18033929816407157,22160.0,0.8164629988986206,0.36207624138416095,0.05687626013972898,0.05546959253528391,0.02081868054578703
60625,79157,0.07183225833560938,59601.0,0.7970110034488421,0.1712882155003329,0.0541270041207061,0.2916164324402138,0.1780900797149695
60626,50090,0.08433038749150237,36978.0,0.8084248352964664,0.1832625588583644,0.04881994395817084,0.2660253632608256,0.17959384117630067
60628,68077,0.2605278669199031,35654.0,0.8618329244825712,0.27857546636517805,0.07545505935556812,0.12056529112492934,0.06882984737139627
60629,115104,0.17364990689013035,41471.0,0.7989557269947178,0.3555174981384959,0.05685778108711839,0.0646909903201787,0.019895755770662694
60630,57627,0.0724452212997066,67469.0,0.8656011938848109,0.2734770016199499,0.08193019488488537,0.2310883118158166,0.11432919346129301
60631,28238,0.04607631389488841,79458.0,0.9330335009561583,0.24156907012840412,0.08000564413715253,0.23893513945722214,0.15126287568787922
60632,91668,0.11802993147388445,40829.0,0.7531744992800105,0.3328673674793111,0.04732349213449638,0.06586893312458063,0.022384999627227318
